ODDS d2d35fbe5af6bfe1793fa34d77a5d527 2025-08-16T14:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/d2d35fbe5af6bfe1793fa34d77a5d527/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-16T14%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x110739e50>: Failed to establish a new connection: [Errno 51] Network is unreachable'))
ODDS 19fb7b4327af88f3298e4b85eaaa9a8c 2025-08-17T11:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/19fb7b4327af88f3298e4b85eaaa9a8c/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T11%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x110739e50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
ODDS 3f98622bf99e9b053bcc0e855251dbd6 2025-08-17T11:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/3f98622bf99e9b053bcc0e855251dbd6/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T11%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073a710>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
ODDS c914ca9c1b8728efd630d8fae7a01948 2025-08-17T11:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events/c914ca9c1b8728efd630d8fae7a01948/odds?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T11%3A00%3A00Z&regions=us&markets=team_totals%2Calternate_totals&bookmakers=draftkings%2Cfanduel%2Cbetmgm%2Ccaesars%2Chard_rock%2Cbet365%2Cbovada%2Cbetonline_ag%2Cmybookieag%2Cpinnacle (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073aad0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
EVENTS 2025-08-17T14:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T14%3A00%3A00Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x110739e50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
EVENTS 2025-08-17T17:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T17%3A00%3A00Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073a710>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
EVENTS 2025-08-17T20:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T20%3A00%3A00Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073aad0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
EVENTS 2025-08-17T23:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-17T23%3A00%3A00Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x110739e50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
EVENTS 2025-08-18T11:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-18T11%3A00%3A00Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073a710>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
EVENTS 2025-08-18T14:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-18T14%3A00%3A00Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073aad0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
EVENTS 2025-08-18T17:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-18T17%3A00%3A00Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x110739e50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
EVENTS 2025-08-18T20:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-18T20%3A00%3A00Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073a710>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
EVENTS 2025-08-18T23:00:00Z | ConnectionError: HTTPSConnectionPool(host='api.the-odds-api.com', port=443): Max retries exceeded with url: /v4/historical/sports/baseball_mlb/events?apiKey=878a2871db03859cc4bb87c2fdaba71d&date=2025-08-18T23%3A00%3A00Z (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11073aad0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
